Country,Code,Name,Type,Thermal,Gross,Net,Operator,Supplier,Start,Connection,Operation,Shutdown
USA,US -309 ,MAINE YANKEE,PWR  ,2630,900,860,MYAPC,CE,1968-10,1972-11,1972-12,1997-8 
USA,US -245 ,MILLSTONE-1,BWR  ,2011,684,641,DOMINION,GE,1966-5 ,1970-11,1971-3 ,1998-7 
USA,US -219 ,OYSTER CREEK,BWR  ,1930,652,619,EXELON,GE,1964-12,1969-9 ,1969-12,2018-9 
USA,US -130 ,PATHFINDER,BWR  ,220,63,59,NMC,AC,1959-1 ,1966-7 ,1966-8 ,1967-10
USA,US -171 ,PEACH BOTTOM-1,HTGR ,115,42,40,EXELON,GA,1962-2 ,1967-1 ,1967-6 ,1974-11
USA,US -293 ,PILGRIM-1,BWR  ,2028,711,677,ENTERGY,GE,1968-8 ,1972-7 ,1972-12,2019-5 
USA,US -012 ,PIQUA,X    ,46,12,12,CofPiqua,GE,1960-1 ,1963-7 ,1963-11,1966-1 
USA,US -312 ,RANCHO SECO-1,PWR  ,2772,917,873,SMUD,B&W,1969-4 ,1974-10,1975-4 ,1989-6 
USA,US -206 ,SAN ONOFRE-1,PWR  ,1347,456,436,SCE,WH,1964-5 ,1967-7 ,1968-1 ,1992-11
USA,US -361 ,SAN ONOFRE-2,PWR  ,3438,1127,1070,SCE,CE,1974-3 ,1982-9 ,1983-8 ,2013-6 
USA,US -362 ,SAN ONOFRE-3,PWR  ,3438,1127,1080,SCE,CE,1974-3 ,1983-9 ,1984-4 ,2013-6 
USA,US -146 ,SAXTON,PWR  ,24,3,3,SNEC,GE,1960-1 ,1967-3 ,,1972-5 
USA,US -001 ,SHIPPINGPORT,PWR  ,236,68,60,DOE DUQU,WH,1954-1 ,1957-12,1958-5 ,1982-10
USA,US -322 ,SHOREHAM,BWR  ,2436,849,820,LIPA,GE,1972-11,1986-8 ,,1989-6 
USA,US -289 ,THREE MILE ISLAND-1,PWR  ,2568,880,819,EXELON,B&W,1968-5 ,1974-6 ,1974-9 ,2019-9 
USA,US -320 ,THREE MILE ISLAND-2,PWR  ,2772,959,880,GPU,B&W,1969-11,1978-4 ,1978-12,1979-3 
USA,US -344 ,TROJAN,PWR  ,3411,1155,1095,PORTGE,WH,1970-2 ,1975-12,1976-5 ,1992-11
USA,US -271 ,VERMONT YANKEE,BWR  ,1912,635,605,ENTERGY,GE,1967-12,1972-9 ,1972-11,2014-12
USA,US -29  ,YANKEE NPS,PWR  ,600,180,167,YAEC,WH,1957-11,1960-11,1961-7 ,1991-10
USA,US -295 ,ZION-1,PWR  ,3250,1085,1040,EXELON,WH,1968-12,1973-6 ,1973-12,1998-2 
USA,US -304 ,ZION-2,PWR  ,3250,1085,1040,EXELON,WH,1968-12,1973-12,1974-9 ,1998-2 
"TAIWAN,CHINA",TW -1   ,CHINSHAN-1,BWR  ,1840,636,604,TPC,GE,1972-6 ,1977-11,1978-12,2018-12
"TAIWAN,CHINA",TW -2   ,CHINSHAN-2,BWR  ,1840,636,604,TPC,GE,1973-12,1978-12,1979-7 ,2019-7 
"TAIWAN,CHINA",TW -3   ,KUOSHENG-1,BWR  ,2894,985,985,TPC,GE,1975-11,1981-5 ,1981-12,2021-12
