Textbox88,Textbox84,Country,Code1,Station1,Type,Textbox41,ThermalPower,Textbox37,Code,Station,Textbox70,Textbox74,Textbox94,Textbox78,Textbox90,Textbox86,Textbox17
"EAF %
2010 - 2020","UCF %
2010 - 2020",CHINA,CN -22  ,YANGJIANG-1,PWR  ,CPR-1000,2905,1086,1000,YJNPC,CFHI,2008-12,2013-12,2014-3 ,90.6,90.7,-
"EAF %
2010 - 2020","UCF %
2010 - 2020",CHINA,CN -23  ,YANGJIANG-2,PWR  ,CPR-1000,2905,1086,1000,YJNPC,CFHI,2009-6 ,2015-3 ,2015-6 ,89.9,90,-
"EAF %
2010 - 2020","UCF %
2010 - 2020",CHINA,CN -24  ,FANGJIASHAN-1,PWR  ,CPR-1000,2905,1089,1012,QNPC,NPIC,2008-12,2014-11,2014-12,90.6,91.1,-
"EAF %
2010 - 2020","UCF %
2010 - 2020",CHINA,CN -25  ,FANGJIASHAN-2,PWR  ,CPR-1000,2905,1089,1012,QNPC,NPIC,2009-7 ,2015-1 ,2015-2 ,92.3,92.6,-
"EAF %
2010 - 2020","UCF %
2010 - 2020",CHINA,CN -26  ,HONGYANHE-3,PWR  ,CPR-1000,2905,1119,1061,LHNPC,DEC,2009-3 ,2015-3 ,2015-8 ,89.9,91.2,-
"EAF %
2010 - 2020","UCF %
2010 - 2020",CHINA,CN -27  ,HONGYANHE-4,PWR  ,CPR-1000,2905,1119,1061,LHNPC,DEC,2009-8 ,2016-4 ,2016-6 ,89.2,90.4,-
"EAF %
2010 - 2020","UCF %
2010 - 2020",CHINA,CN -28  ,SANMEN-1,PWR  ,AP-1000,3400,1251,1157,SMNPC,WH/MHI,2009-4 ,2018-6 ,2018-9 ,90.4,91.3,-
"EAF %
2010 - 2020","UCF %
2010 - 2020",CHINA,CN -29  ,SANMEN-2,PWR  ,AP-1000,3400,1251,1157,SMNPC,WH/MHI,2009-12,2018-8 ,2018-11,55.6,56.9,-
"EAF %
2010 - 2020","UCF %
2010 - 2020",CHINA,CN -3   ,DAYA BAY-2,PWR  ,M310,2905,984,944,DNMC,FRAM,1988-4 ,1994-2 ,1994-5 ,86.1,87.2,-
"EAF %
2010 - 2020","UCF %
2010 - 2020",CHINA,CN -30  ,HAIYANG-1,PWR  ,AP-1000,3415,1250,1170,SDNPC,WH,2009-9 ,2018-8 ,2018-10,91.3,92,-
"EAF %
2010 - 2020","UCF %
2010 - 2020",CHINA,CN -31  ,HAIYANG-2,PWR  ,AP-1000,3415,1250,1170,SDNPC,WH,2010-6 ,2018-10,2019-1 ,93.4,94.2,-
"EAF %
2010 - 2020","UCF %
2010 - 2020",CHINA,CN -32  ,TAISHAN-1,PWR  ,EPR-1750,4590,1750,1660,TNPJVC,ORANO,2009-11,2018-6 ,2018-12,80.8,81.3,-
"EAF %
2010 - 2020","UCF %
2010 - 2020",CHINA,CN -33  ,TAISHAN-2,PWR  ,EPR-1750,4590,1750,1660,TNPJVC,ORANO,2010-4 ,2019-6 ,,0,0,-
"EAF %
2010 - 2020","UCF %
2010 - 2020",CHINA,CN -34  ,NINGDE-3,PWR  ,CPR-1000,2905,1089,1018,NDNP,CFHI,2010-1 ,2015-3 ,2015-6 ,91.5,91.5,-
"EAF %
2010 - 2020","UCF %
2010 - 2020",CHINA,CN -35  ,NINGDE-4,PWR  ,CPR-1000,2905,1089,1018,NDNP,CFHI,2010-9 ,2016-3 ,2016-7 ,91.9,91.9,-
"EAF %
2010 - 2020","UCF %
2010 - 2020",CHINA,CN -36  ,CHANGJIANG-1,PWR  ,CNP-600,1930,650,601,HNPC,DEC,2010-4 ,2015-11,2015-12,88.1,88.1,-
"EAF %
2010 - 2020","UCF %
2010 - 2020",CHINA,CN -37  ,CHANGJIANG-2,PWR  ,CNP-600,1930,650,601,HNPC,DEC,2010-11,2016-6 ,2016-8 ,88.5,88.5,-
"EAF %
2010 - 2020","UCF %
2010 - 2020",CHINA,CN -38  ,FANGCHENGGANG-1,PWR  ,CPR-1000,2905,1086,1000,GFNPC,DEC,2010-7 ,2015-10,2016-1 ,91.5,91.6,-
"EAF %
2010 - 2020","UCF %
2010 - 2020",CHINA,CN -39  ,FANGCHENGGANG-2,PWR  ,CPR-1000,2905,1086,1000,GFNPC,DEC,2010-12,2016-7 ,2016-10,91.6,91.6,-
"EAF %
2010 - 2020","UCF %
2010 - 2020",CHINA,CN -4   ,QINSHAN 2-1,PWR  ,CNP-600,1930,650,610,NPQJVC,CNNC,1996-6 ,2002-2 ,2002-4 ,84,84,-
"EAF %
2010 - 2020","UCF %
2010 - 2020",CHINA,CN -40  ,YANGJIANG-3,PWR  ,CPR-1000,2905,1086,1000,YJNPC,CFHI,2010-11,2015-10,2016-1 ,91,91.3,-
"EAF %
2010 - 2020","UCF %
2010 - 2020",CHINA,CN -41  ,YANGJIANG-4,PWR  ,CPR-1000,2905,1086,1000,YJNPC,CFHI,2012-11,2017-1 ,2017-3 ,90.7,90.9,-
"EAF %
2010 - 2020","UCF %
2010 - 2020",CHINA,CN -42  ,FUQING-3,PWR  ,CNP-1000,2905,1089,1000,FQNP,NPIC,2010-12,2016-9 ,2016-10,89.1,89.4,-
