Country,Code,Name,Type,Model,Thermal,Gross,Net,Operator,Supplier,Start,Connection,Operation,Shutdown,EAF,UCF,NEA,Status
CHINA,CN -3   ,DAYA BAY-2,PWR  ,M310,2905,984,944,DNMC,FRAM,1988-4 ,1994-2 ,1994-5 ,,86.6,87.7,-,Online
CHINA,CN -30  ,HAIYANG-1,PWR  ,AP-1000,3415,1250,1170,SDNPC,WH,2009-9 ,2018-8 ,2018-10,,91.5,92.3,-,Online
CHINA,CN -31  ,HAIYANG-2,PWR  ,AP-1000,3415,1250,1170,SDNPC,WH,2010-6 ,2018-10,2019-1 ,,93.1,93.9,-,Online
CHINA,CN -32  ,TAISHAN-1,PWR  ,EPR-1750,4590,1750,1660,TNPJVC,ORANO,2009-11,2018-6 ,2018-12,,72.5,73,-,Online
CHINA,CN -33  ,TAISHAN-2,PWR  ,EPR-1750,4590,1750,1660,TNPJVC,ORANO,2010-4 ,2019-6 ,2019-9 ,,89.1,90,-,Online
CHINA,CN -34  ,NINGDE-3,PWR  ,CPR-1000,2905,1089,1018,NDNP,CFHI,2010-1 ,2015-3 ,2015-6 ,,92,92,-,Online
CHINA,CN -35  ,NINGDE-4,PWR  ,CPR-1000,2905,1089,1018,NDNP,CFHI,2010-9 ,2016-3 ,2016-7 ,,93.4,93.4,-,Online
CHINA,CN -36  ,CHANGJIANG-1,PWR  ,CNP-600,1930,650,601,HNPC,DEC,2010-4 ,2015-11,2015-12,,88.8,88.8,-,Online
CHINA,CN -37  ,CHANGJIANG-2,PWR  ,CNP-600,1930,650,601,HNPC,DEC,2010-11,2016-6 ,2016-8 ,,89.2,89.2,-,Online
CHINA,CN -38  ,FANGCHENGGANG-1,PWR  ,CPR-1000,2905,1086,1000,GFNPC,DEC,2010-7 ,2015-10,2016-1 ,,91.8,91.8,-,Online
CHINA,CN -39  ,FANGCHENGGANG-2,PWR  ,CPR-1000,2905,1086,1000,GFNPC,DEC,2010-12,2016-7 ,2016-10,,93.2,93.2,-,Online
CHINA,CN -4   ,QINSHAN 2-1,PWR  ,CNP-600,1930,650,610,NPQJVC,CNNC,1996-6 ,2002-2 ,2002-4 ,,84.4,84.5,-,Online
CHINA,CN -40  ,YANGJIANG-3,PWR  ,CPR-1000,2905,1086,1000,YJNPC,CFHI,2010-11,2015-10,2016-1 ,,91.4,91.7,-,Online
CHINA,CN -41  ,YANGJIANG-4,PWR  ,CPR-1000,2905,1086,1000,YJNPC,CFHI,2012-11,2017-1 ,2017-3 ,,90.5,90.6,-,Online
CHINA,CN -42  ,FUQING-3,PWR  ,CNP-1000,2905,1089,1000,FQNP,NPIC,2010-12,2016-9 ,2016-10,,89.5,89.8,-,Online
CHINA,CN -43  ,FUQING-4,PWR  ,CNP-1000,2905,1089,1000,FQNP,NPIC,2012-11,2017-7 ,2017-9 ,,90.7,91.1,-,Online
CHINA,CN -44  ,SHIDAO BAY-1,HTGR ,HTR-PM,500,211,200,HSNPC,TSINGHUA,2012-12,2021-12,,,0,0,-,Online
CHINA,CN -45  ,TIANWAN-3,PWR  ,VVER V-428M,3000,1126,1060,JNPC,IZ,2012-12,2017-12,2018-2 ,,88.7,89.3,-,Online
CHINA,CN -46  ,TIANWAN-4,PWR  ,VVER V-428M,3000,1126,1060,JNPC,IZ,2013-9 ,2018-10,2018-12,,91.9,91.9,-,Online
CHINA,CN -47  ,YANGJIANG-5,PWR  ,ACPR-1000,2905,1086,1000,YJNPC,CFHI,2013-9 ,2018-5 ,2018-7 ,,91.7,91.9,-,Online
CHINA,CN -48  ,YANGJIANG-6,PWR  ,ACPR-1000,2905,1086,1000,YJNPC,CFHI,2013-12,2019-6 ,2019-7 ,,92.4,92.4,-,Online
CHINA,CN -49  ,HONGYANHE-5,PWR  ,ACPR-1000,2905,1119,1061,LHNPC,DEC,2015-3 ,2021-6 ,2021-7 ,,97.7,100,-,Online
CHINA,CN -5   ,QINSHAN 2-2,PWR  ,CNP-600,1930,650,610,NPQJVC,CNNC,1997-4 ,2004-3 ,2004-5 ,,88.9,89,-,Online
CHINA,CN -51  ,FUQING-5,PWR  ,HPR1000,3060,1150,1075,FQNP,NPIC,2015-5 ,2020-11,2021-1 ,,91.5,92.1,-,Online
CHINA,CN -53  ,TIANWAN-5,PWR  ,CNP-1000,2905,1118,1060,JNPC,SHE,2015-12,2020-8 ,2020-9 ,,86.5,87.4,-,Online
CHINA,CN -54  ,TIANWAN-6,PWR  ,CNP-1000,2905,1118,1060,JNPC,CFHI,2016-9 ,2021-5 ,2021-6 ,,98.9,100,-,Online
CHINA,CN -6   ,LING AO-1,PWR  ,M310,2905,990,950,DNMC,FRAM,1997-5 ,2002-2 ,2002-5 ,,89.8,90.2,-,Online
CHINA,CN -7   ,LING AO-2,PWR  ,M310,2905,990,950,DNMC,FRAM,1997-11,2002-9 ,2003-1 ,,90.5,90.8,-,Online
CHINA,CN -8   ,QINSHAN 3-1,PHWR ,CANDU 6,2064,728,677,TQNPC,AECL,1998-6 ,2002-11,2002-12,,89.7,90.2,-,Online
CHINA,CN -9   ,QINSHAN 3-2,PHWR ,CANDU 6,2064,728,677,TQNPC,AECL,1998-9 ,2003-6 ,2003-7 ,,91.4,91.8,-,Online
CHINA,CN -901 ,CEFR,FBR  ,BN-20,65,25,20,CIAE,IZ,2000-5 ,2011-7 ,,,0,0,-,Online
CZECH REP.,CZ -23  ,TEMELIN-1,PWR  ,VVER V-320,3120,1082,1027,CEZ,ŠKODA ,1987-2 ,2000-12,2002-6 ,,75.8,76,DH,Online
CZECH REP.,CZ -24  ,TEMELIN-2,PWR  ,VVER V-320,3120,1082,1029,CEZ,ŠKODA ,1987-2 ,2002-12,2003-4 ,,77.8,78,DH,Online
CZECH REP.,CZ -4   ,DUKOVANY-1,PWR  ,VVER V-213,1444,500,468,CEZ,ŠKODA ,1979-1 ,1985-2 ,1985-5 ,,83.1,84,-,Online
CZECH REP.,CZ -5   ,DUKOVANY-2,PWR  ,VVER V-213,1444,500,471,CEZ,ŠKODA ,1979-1 ,1986-1 ,1986-3 ,,81.7,82.7,-,Online
CZECH REP.,CZ -8   ,DUKOVANY-3,PWR  ,VVER V-213,1444,500,468,CEZ,ŠKODA ,1979-3 ,1986-11,1986-12,,81.2,82.7,-,Online
CZECH REP.,CZ -9   ,DUKOVANY-4,PWR  ,VVER V-213,1444,500,471,CEZ,ŠKODA ,1979-3 ,1987-6 ,1987-7 ,,83.5,84.4,-,Online
FINLAND,FI -1   ,LOVIISA-1,PWR  ,VVER V-213,1500,531,507,FORTUMPH,AEE,1971-5 ,1977-2 ,1977-5 ,,88,88.6,-,Online
FINLAND,FI -2   ,LOVIISA-2,PWR  ,VVER V-213,1500,531,507,FORTUMPH,AEE,1972-8 ,1980-11,1981-1 ,,89.5,90.3,-,Online
FINLAND,FI -3   ,OLKILUOTO-1,BWR  ,"AA-III, BWR-25",2500,920,890,TVO,ASEASTAL,1974-2 ,1978-9 ,1979-10,,92.8,93.2,-,Online
FINLAND,FI -4   ,OLKILUOTO-2,BWR  ,"AA-III, BWR-25",2500,920,890,TVO,ASEASTAL,1975-11,1980-2 ,1982-7 ,,93,93.6,-,Online
FRANCE,FR -13  ,BUGEY-2,PWR  ,CP0,2785,945,910,EDF,FRAM,1972-11,1978-5 ,1979-3 ,,72.2,74.4,-,Online
FRANCE,FR -14  ,BUGEY-3,PWR  ,CP0,2785,945,910,EDF,FRAM,1973-9 ,1978-9 ,1979-3 ,,70.8,73.3,-,Online
FRANCE,FR -15  ,BUGEY-4,PWR  ,CP0,2785,917,880,EDF,FRAM,1974-6 ,1979-3 ,1979-7 ,,74.3,76.3,-,Online
FRANCE,FR -16  ,BUGEY-5,PWR  ,CP0,2785,917,880,EDF,FRAM,1974-7 ,1979-7 ,1980-1 ,,72.4,74.8,-,Online
FRANCE,FR -17  ,ST. LAURENT B-1,PWR  ,CP2,2785,956,915,EDF,FRAM,1976-5 ,1981-1 ,1983-8 ,,75.2,77.4,-,Online
