Country,Code,Name,Type,Model,ThermalPower,Gross,Net,Operator,Provider,EAF,UCF,Start,Connection,Operation,Construction_time
CHINA,CN -28  ,SANMEN-1,PWR  ,AP-1000,3400,1251,1157,SMNPC,WH/MHI,90.4,91.3,2009-04-01,2018-06-01,2018-09-01 00:00:00,3348
CHINA,CN -29  ,SANMEN-2,PWR  ,AP-1000,3400,1251,1157,SMNPC,WH/MHI,55.6,56.9,2009-12-01,2018-08-01,2018-11-01 00:00:00,3165
CHINA,CN -3   ,DAYA BAY-2,PWR  ,M310,2905,984,944,DNMC,FRAM,86.1,87.2,1988-04-01,1994-02-01,1994-05-01 00:00:00,2132
CHINA,CN -30  ,HAIYANG-1,PWR  ,AP-1000,3415,1250,1170,SDNPC,WH,91.3,92.0,2009-09-01,2018-08-01,2018-10-01 00:00:00,3256
CHINA,CN -31  ,HAIYANG-2,PWR  ,AP-1000,3415,1250,1170,SDNPC,WH,93.4,94.2,2010-06-01,2018-10-01,2019-01-01 00:00:00,3044
CHINA,CN -32  ,TAISHAN-1,PWR  ,EPR-1750,4590,1750,1660,TNPJVC,ORANO,80.8,81.3,2009-11-01,2018-06-01,2018-12-01 00:00:00,3134
CHINA,CN -33  ,TAISHAN-2,PWR  ,EPR-1750,4590,1750,1660,TNPJVC,ORANO,0.0,0.0,2010-04-01,2019-06-01,,3348
CHINA,CN -34  ,NINGDE-3,PWR  ,CPR-1000,2905,1089,1018,NDNP,CFHI,91.5,91.5,2010-01-01,2015-03-01,2015-06-01 00:00:00,1885
CHINA,CN -35  ,NINGDE-4,PWR  ,CPR-1000,2905,1089,1018,NDNP,CFHI,91.9,91.9,2010-09-01,2016-03-01,2016-07-01 00:00:00,2008
CHINA,CN -36  ,CHANGJIANG-1,PWR  ,CNP-600,1930,650,601,HNPC,DEC,88.1,88.1,2010-04-01,2015-11-01,2015-12-01 00:00:00,2040
CHINA,CN -37  ,CHANGJIANG-2,PWR  ,CNP-600,1930,650,601,HNPC,DEC,88.5,88.5,2010-11-01,2016-06-01,2016-08-01 00:00:00,2039
CHINA,CN -38  ,FANGCHENGGANG-1,PWR  ,CPR-1000,2905,1086,1000,GFNPC,DEC,91.5,91.6,2010-07-01,2015-10-01,2016-01-01 00:00:00,1918
CHINA,CN -39  ,FANGCHENGGANG-2,PWR  ,CPR-1000,2905,1086,1000,GFNPC,DEC,91.6,91.6,2010-12-01,2016-07-01,2016-10-01 00:00:00,2039
CHINA,CN -4   ,QINSHAN 2-1,PWR  ,CNP-600,1930,650,610,NPQJVC,CNNC,84.0,84.0,1996-06-01,2002-02-01,2002-04-01 00:00:00,2071
CHINA,CN -40  ,YANGJIANG-3,PWR  ,CPR-1000,2905,1086,1000,YJNPC,CFHI,91.0,91.3,2010-11-01,2015-10-01,2016-01-01 00:00:00,1795
CHINA,CN -41  ,YANGJIANG-4,PWR  ,CPR-1000,2905,1086,1000,YJNPC,CFHI,90.7,90.9,2012-11-01,2017-01-01,2017-03-01 00:00:00,1522
CHINA,CN -42  ,FUQING-3,PWR  ,CNP-1000,2905,1089,1000,FQNP,NPIC,89.1,89.4,2010-12-01,2016-09-01,2016-10-01 00:00:00,2101
CHINA,CN -43  ,FUQING-4,PWR  ,CNP-1000,2905,1089,1000,FQNP,NPIC,88.0,88.3,2012-11-01,2017-07-01,2017-09-01 00:00:00,1703
CHINA,CN -45  ,TIANWAN-3,PWR  ,VVER V-428M,3000,1126,1045,JNPC,IZ,87.5,87.9,2012-12-01,2017-12-01,2018-02-01 00:00:00,1826
CHINA,CN -46  ,TIANWAN-4,PWR  ,VVER V-428M,3000,1126,1045,JNPC,IZ,89.9,90.0,2013-09-01,2018-10-01,2018-12-01 00:00:00,1856
CHINA,CN -47  ,YANGJIANG-5,PWR  ,ACPR-1000,2905,1086,1000,YJNPC,CFHI,90.6,90.9,2013-09-01,2018-05-01,2018-07-01 00:00:00,1703
CHINA,CN -48  ,YANGJIANG-6,PWR  ,ACPR-1000,2905,1086,1000,YJNPC,CFHI,87.6,87.6,2013-12-01,2019-06-01,2019-07-01 00:00:00,2008
CHINA,CN -5   ,QINSHAN 2-2,PWR  ,CNP-600,1930,650,610,NPQJVC,CNNC,88.3,88.4,1997-04-01,2004-03-01,2004-05-01 00:00:00,2526
CHINA,CN -51  ,FUQING-5,PWR  ,HPR1000,3060,1150,1000,FQNP,NPIC,0.0,0.0,2015-05-01,2020-11-01,2021-01-01 00:00:00,2011
CHINA,CN -53  ,TIANWAN-5,PWR  ,CNP-1000,2905,1118,1000,JNPC,SHE,93.3,93.3,2015-12-01,2020-08-01,2020-09-01 00:00:00,1705
CHINA,CN -6   ,LING AO-1,PWR  ,M310,2905,990,950,DNMC,FRAM,89.9,90.2,1997-05-01,2002-02-01,2002-05-01 00:00:00,1737
CHINA,CN -7   ,LING AO-2,PWR  ,M310,2905,990,950,DNMC,FRAM,90.1,90.3,1997-11-01,2002-09-01,2003-01-01 00:00:00,1765
CHINA,CN -8   ,QINSHAN 3-1,PHWR ,CANDU 6,2064,728,677,TQNPC,AECL,89.7,90.2,1998-06-01,2002-11-01,2002-12-01 00:00:00,1614
CHINA,CN -9   ,QINSHAN 3-2,PHWR ,CANDU 6,2064,728,677,TQNPC,AECL,91.0,91.4,1998-09-01,2003-06-01,2003-07-01 00:00:00,1734
CHINA,CN -901 ,CEFR,FBR  ,BN-20,65,25,20,CIAE,IZ,0.0,0.0,2000-05-01,2011-07-01,,4078
CZECH REP.,CZ -23  ,TEMELIN-1,PWR  ,VVER V-320,3120,1082,1027,CEZ,ŠKODA ,75.3,75.6,1987-02-01,2000-12-01,2002-06-01 00:00:00,5052
CZECH REP.,CZ -24  ,TEMELIN-2,PWR  ,VVER V-320,3120,1082,1029,CEZ,ŠKODA ,77.5,77.7,1987-02-01,2002-12-01,2003-04-01 00:00:00,5782
CZECH REP.,CZ -4   ,DUKOVANY-1,PWR  ,VVER V-213,1444,500,468,CEZ,ŠKODA ,83.0,83.9,1979-01-01,1985-02-01,1985-05-01 00:00:00,2223
CZECH REP.,CZ -5   ,DUKOVANY-2,PWR  ,VVER V-213,1444,500,471,CEZ,ŠKODA ,81.6,82.5,1979-01-01,1986-01-01,1986-03-01 00:00:00,2557
CZECH REP.,CZ -8   ,DUKOVANY-3,PWR  ,VVER V-213,1444,500,468,CEZ,ŠKODA ,81.2,82.7,1979-03-01,1986-11-01,1986-12-01 00:00:00,2802
CZECH REP.,CZ -9   ,DUKOVANY-4,PWR  ,VVER V-213,1444,500,471,CEZ,ŠKODA ,83.5,84.4,1979-03-01,1987-06-01,1987-07-01 00:00:00,3014
